Title,Subtitle,Price,Location
"Sumadhura Solace
NEW BOOKING","3, 4 BHK Apartment in Marathahalli, Bangalore","3 BHK Apartment
₹2.47 - 3.25 Cr
4 BHK Apartment
₹2.76 - 4.19 Cr","Nearby :
DoubleTree by Hilton Hotel
Manipal Hospital
+3"
"Roach Cicada
NEW BOOKING","3, 4 BHK Apartment in Sarjapur Road, Bangalore","3 BHK Apartment
₹2.86 - 3.17 Cr
4 BHK Apartment
₹3.9 Cr","Nearby :
Glentree Academy School
Amrita Vishwa Vidyapeetam
+3"
"RRL Palm Altezze
NEW BOOKING","2, 3 BHK Apartment in Varthur, Bangalore","2 BHK Apartment
₹97.86 L
3 BHK Apartment
₹1.15 - 1.25 Cr","Nearby :
National Highway 648
Manipal Hospital Varthur Road
+3"
"DSR Elixir
NEW BOOKING","4, 5 BHK Villa in Whitefield, Bangalore","4 BHK Villa
₹4.91 - 6.12 Cr
5 BHK Villa
₹3.81 - 6.65 Cr","Nearby :
Great International School
Atal Bihari Botanical Garden
+3"
"Sumadhura Edition
NEW BOOKING","2, 3, 4 BHK Apartment in Nallurhalli, Whitefield","2 BHK Apartment
₹1.7 - 1.81 Cr
3 BHK Apartment
₹1.98 - 2.55 Cr
4 BHK Apartment
₹2.6 - 3.05 Cr","Nearby :
Manipal Hospital Varthur Road
Brookefield Mall
+3"
"Keya The Urban Forest
NEW BOOKING","2, 3, 4 BHK Apartment in Sarjapur Road, Bangalore","2 BHK Apartment
₹1.7 - 1.78 Cr
3 BHK Apartment
₹2.08 - 2.38 Cr
4 BHK Apartment
₹3 - 3.3 Cr","Nearby :
BRS Global School
Amrita Vishwa Vidyapeetam
+3"
"The Berries for Birds by Sanjeevini Srushti
NEW BOOKING","3, 4 BHK Villa in Whitefield, Bangalore","3 BHK Villa
₹1.81 Cr
4 BHK Villa
₹2.33 - 4.28 Cr","Nearby :
DPS Whitefield
Rudrappa Healthcare
+3"
"Trifecta Veranza
NEW BOOKING","2, 3 BHK Apartment in Sarjapur, Bangalore","2 BHK Apartment
₹1.03 Cr
3 BHK Apartment
₹1.19 - 1.54 Cr","Nearby :
The International School
National Highway 948A
+3"
"KNS Samooha Phase 1
NEW BOOKING","Land in Nelamangala, Bangalore","Land
₹72 L - 2.74 Cr","Nearby :
Aasare Hospital
VP Magnus Hospital
+3"
"DSR The Address
NEW BOOKING","2, 3, 4 BHK Apartment in Sarjapur Road, Bangalore","2 BHK Apartment
₹1.24 - 1.71 Cr
3 BHK Apartment
₹1.61 - 2.93 Cr
4 BHK Apartment
₹2.89 - 2.9 Cr","Nearby :
Global Indian Intl. School
Sakra World Hospital
+3"
"Global Edifice The Clan
NEW BOOKING","2, 3 BHK Apartment in Sarjapur Road, Bangalore","2 BHK Apartment
₹83.79 L - 1 Cr
3 BHK Apartment
₹1.11 - 1.35 Cr","Nearby :
Aikhyatha Public School
Town Hospital Sarjapura
+3"
"Meenakshi High Life Towers
NEW BOOKING","2, 3, 4 BHK Apartment in Rachenahalli, Bangalore","2 BHK Apartment
₹1.37 - 1.62 Cr
3 BHK Apartment
₹1.83 - 2.81 Cr
4 BHK Apartment
₹2.78 - 3.76 Cr","Nearby :
Nagawara Metro Station
Daisy Montessori School
+3"
"Winds of Change by CKPC
NEW BOOKING","3, 4 BHK Apartment in Yelahanka, Bangalore","3 BHK Apartment
₹1.82 - 1.99 Cr
4 BHK Apartment
₹2.72 - 2.76 Cr","Nearby :
Vishwa Vidyapeeth Vikramashila
Ramada Hotel by Wyndham Bengaluru
+3"
"Vaishno Serene
NEW BOOKING","3 BHK Apartment in Hoodi, Bangalore","3 BHK Apartment
₹1.13 - 1.36 Cr","Nearby :
Sristi Global School
Belathur Main Rd
+3"
"Pride Euphora
NEW BOOKING","3, 4 BHK Apartment in KR Puram, Bangalore","3 BHK Apartment
₹2.2 - 2.51 Cr
4 BHK Apartment
₹3.75 - 3.92 Cr","Nearby :
Amara Jyothi
Hope Hospital
+3"
"Keya The Lake Terraces
NEW BOOKING","2, 3, 4 BHK Apartment in Electronics City Phase 1, Bangalore","2 BHK Apartment
₹1.23 - 1.29 Cr
3 BHK Apartment
₹1.66 - 1.7 Cr
4 BHK Apartment
₹2.42 Cr","Nearby :
New Cambridge Public School
Kauvery Hospital Electronic City
+3"
"Trendsquares Akino
NEW BOOKING","3, 4 BHK Apartment in Marathahalli, Bangalore","3 BHK Apartment
₹1.67 - 1.85 Cr
4 BHK Apartment
₹2.04 - 2.07 Cr","Nearby :
Kempegowda International Airport
The Brigade School
+3"
"Gopalan Florenza
NEW BOOKING","2, 3 BHK Apartment in Banashankari, Bangalore","2 BHK Apartment
₹1.49 - 1.51 Cr
3 BHK Apartment
₹1.76 - 1.83 Cr","Nearby :
Royal Indraprastha The Hotel
Jayadev Memorial Rashtrotthana Hospital
+3"
"Candeur Novo Gardenia
NEW BOOKING","2, 3 BHK Apartment in Varthur, Bangalore","2 BHK Apartment
₹1.2 - 1.28 Cr
3 BHK Apartment
₹1.48 - 1.78 Cr","Nearby :
Kadugudi South Metro Station
Varthur - Sarjapur Road
+3"
"DSR The Courtyard
NEW BOOKING","2, 3 BHK Apartment in Gunjur, Near Varthur, Bangalore","2 BHK Apartment
₹1.12 - 1.3 Cr
3 BHK Apartment
₹1.55 - 1.68 Cr","Nearby :
Mayflower Montessori School
New Horizon College of Engineering
+3"
"Suyug The 1
NEW BOOKING","3 BHK Apartment in Sarjapur Road, Bangalore","3 BHK Apartment
₹1.47 - 1.78 Cr","Nearby :
Indus International School
Town Hospital
+3"
"Suyug Saffron
NEW BOOKING","3, 4 BHK Apartment in Sarjapur Road, Bangalore","3 BHK Apartment
₹1.5 - 1.65 Cr
4 BHK Apartment
₹2.01 - 2.06 Cr","Nearby :
Saandeepani Academy
Satya SaiHospital
+3"
